SKU,Categories,Stock,Price,Name
020685001383,Snacks,1,169,Cape Cod Kettle Cooked Potato Chips Sea Salt & Vinegar
020685001390,Snacks,1,239,Cape Cod Sweet & Spicy Jalapeno
020685001420,Snacks,1,169,Cape Cod Kettle Cooked Potato Chips Sweet Mesquite Barbeque
020685001727,Snacks,1,239,Cape Cod Kettle Cooked Potato Chip Original
020685002335,Snacks,1,149,Cape Cod Chips
020685002342,Snacks,1,149,Cape code sea salt
020685002359,Snacks,1,149,Cape code kettle
020685084775,Snacks,1,200,Cape Cod:Original Potato Chips
020685123702,Grocery Non-Taxable,1,50,Cape Cod Original
020685168000,Snacks,1,200,Cape Cod:Sea Salt & Vinegar Potato Chips
020709002402,Candy,1,249,Trolli Classic Bears:Gummi Candy
020709002532,Candy,1,249,Trolli:Peachie-O's
020709002624,Candy,1,199,"Trolli:Gummi Candy, Sour Apple-O's"
020709012043,Candy,1,249,Trolli:Squiggles
020709012302,Candy,1,249,"Trolli:Gummi Candy, Sour Brite Crawlers"
020709012319,Candy,1,249,Trolli:Sour Brite Octopus
020709012562,Candy,1,199,Trolli:Strawberry Puffs
020709100160,Candy,1,249,Trolli Evil Twins
020709110442,Candy,1,199,Trolli Big Gummy Bears
020709220011,Candy,1,199,Trolli Sour Brite Crawlers
020709708021,Candy,1,199,"Trolli:Gummi Candy, Sour Cherry Bombers"
020735096437,Drinks,1,199,Turkey Hill Lemonade
020735096444,Drinks,1,225,Turkey Hill Fruit Punch
020735110027,Grocery Non-Taxable,1,450,Turkey Hill:French Vanilla
020735110072,Dairy,1,450,Turkey Hill:Neapolitan
020735111024,Grocery Non-Taxable,1,499,Turkey Hill:Rum Raisin
020735112922,Frozen Food,1,699,Triple vanilla
020735136713,Frozen Food,1,699,Vanilla
020735420997,Dairy,1,499,Turkey Hill:Banana Split
020800753050,Vitamins/Medicine,1,799,Pepto bismol
021000000227,Grocery Non-Taxable,1,100,Kraft Natural Cheese Snacks:Mozzarella
021000010875,Grocery Non-Taxable,1,169,Kraft:Original
021000010882,General Food,1,149,Kraft Dinners:Triple Cheese Cheesy Made Easy
021000023226,Grocery Non-Taxable,1,169,Kraft Velveeta:Original
021000026494,Grocery Non-Taxable,1,499,Kraft Miracle Whip:Original
021000028092,Grocery Non-Taxable,1,199,Kraft:Original
021000044962,Grocery Non-Taxable,1,199,Vel
021000051229,Grocery Non-Taxable,1,499,Kraft Parmesan Cheese
021000052288,Grocery Non-Taxable,1,289,Kraft Slow Simmered BBQ - Original
021000052295,Grocery Non-Taxable,1,249,Kraft Hickory Smoked Bbq Sauce
021000052325,Grocery Non-Taxable,1,249,Kraft Slow Simmered Spicy Honey Bbq Sauce
021000052332,Grocery Non-Taxable,1,249,Kraft Barbecue Sauce Thick & Spicy
021000052356,Grocery Non-Taxable,1,399,Kraft Original Barbecue Sauce
021000052387,Grocery Non-Taxable,1,289,Kraft BBQ Sweet Honey
021000052394,Grocery Non-Taxable,1,399,Kraft Sweet Honey Barbecue Sauce
021000053162,Grocery Non-Taxable,1,50,Kraft Macaroni & Cheese
021000301676,Dairy,1,249,Breakstone's:All Natural
021000604647,Dairy,1,549,Kraft American
021000604654,Dairy,1,549,Kraft Singles White American 16 Ct
021000612239,Grocery Non-Taxable,1,399,Kraft Philadelphia:Original
021000615315,Grocery Non-Taxable,1,489,Kraft:100% Grated
021000615421,Grocery Non-Taxable,1,325,Kraft:100% Grated
021000658831,General Food,1,189,Kraft:Original
021000658862,Grocery Non-Taxable,1,499,Kraft Deluxe - Original Cheddar
021000658930,Grocery Non-Taxable,1,499,Kraft Velveeta Original - Creamy Cheese Sauce & Shell Pasta
021065000057,Grocery Non-Taxable,1,199,Steve's & Ed's Louisiana Hot Sauce
021065000507,Grocery Non-Taxable,1,499,Steve's & Eds Honey
021100021115,Grocery Non-Taxable,1,199,Deming's:Pink Wild Caught Alaskan
021130078608,Grocery Non-Taxable,1,59,Y
